PlantName,part,Family,Extraction Solvent,Particle size,Zeta potential,Normal  cells (N)/cancer cells ? C?,Human(H)/Animal(A) cells,Cell  Lines,Cell viability Assay,Exposure Dose,% of cell viability,Exposure time
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,MTT,20,66.9,12
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,MTT,40,39.5,12
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,MTT,60,16.4,12
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,MTT,80,18.9,12
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,Annexin V,20,99.9,12
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,Annexin V,40,90.5,12
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,Annexin V,60,81.9,12
Alcea,leaf,Malvaceae,aqueous,3,-17.8,C,H,4T1 ,Annexin V,80,60.5,12
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,MCF-7,MTT,1.25,24.9,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,MCF-7,MTT,2.5,29.5,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,MCF-7,MTT,5,33.6,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,MCF-7,MTT,10,23.5,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,PC3,MTT,2.5,55,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,PC3,MTT,5,50,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,PC3,MTT,7.5,49.9,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,PC3,MTT,10,48.6,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,HT-29,MTT,1.5,105,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,HT-29,MTT,2.5,109.9,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,HT-29,MTT,5,99.9,24
Walnut Oil,,Juglandaceae,organic,12.3,,C,H,HT-29,MTT,10,85.5,24
cinnamon,,Lauraceae,aqueous,3.4,-16,C,H,LN229 ,PrestoBlue,500,73.9,24
cinnamon,,Lauraceae,aqueous,3.4,-16,C,H,LN229 ,PrestoBlue,1000,70.5,24
cinnamon,,Lauraceae,aqueous,3.4,-16,C,H,LN229 ,PrestoBlue,1500,69.9,24
cinnamon,,Lauraceae,aqueous,3.4,-16,C,H,LN229 ,PrestoBlue,2000,69,24
red chilli,,Solanaceae,aqueous,3.1,-32.9,C,H,LN229 ,PrestoBlue,50,87.5,24
red chilli,,Solanaceae,aqueous,3.1,-32.9,C,H,LN229 ,PrestoBlue,500,63.6,24
red chilli,,Solanaceae,aqueous,3.1,-32.9,C,H,LN229 ,PrestoBlue,100,69.9,24
red chilli,,Solanaceae,aqueous,3.1,-32.9,C,H,LN229 ,PrestoBlue,2000,59.9,24
turmeric,,Zingiberaceae,aqueous,4.3,-16.3,C,H,LN229,PrestoBlue,50,80,24
turmeric,,Zingiberaceae,aqueous,4.3,-16.3,C,H,LN229,PrestoBlue,500,63.9,24
turmeric,,Zingiberaceae,aqueous,4.3,-16.3,C,H,LN229,PrestoBlue,1000,67.5,24
turmeric,,Zingiberaceae,aqueous,4.3,-16.3,C,H,LN229,PrestoBlue,1500,65,24
turmeric,,Zingiberaceae,aqueous,4.3,-16.3,C,H,LN229,PrestoBlue,2000,64.9,24
black pepper,,Piperaceae,aqueous,3.5,-24.2,C,H,LN229 ,PrestoBlue,50,78.9,24
black pepper,,Piperaceae,aqueous,3.5,-24.2,C,H,LN229,PrestoBlue,500,55.6,24
black pepper,,Piperaceae,aqueous,3.5,-24.2,C,H,LN229,PrestoBlue,1000,41.9,24
